flight_no,carrier,date,origin,dest,sched_dep,air_time_min,delay_min
SK182,SK,8/22/2026,JFK,LAX,09:20,327,-1
SK735,SK,2026-08-17,sea,LAX,17:25,144,
BW446,BW,2026-08-19,ORD ,MSP,20:25,74,13
PR107,PR,8/19/2026,BOS,JFK,17:05,46,-2
AU266,AU,2026-08-17,ORD,phl,17:35,110,0
PR280,PR,2026-08-22,IAH,EWR,10:05,207,-6
AU340,AU,8/18/2026,ATL,DEN,05:00,175,60
BW633,BW,8/18/2026,LAX,PHX,17:10,76,8
PR457,PR,2026-08-20,CLT,DFW,05:50,146,-6
BW389,BW,2026-08-23,CLT ,dfw,16:05,140,14
PR736,PR,2026-08-17,SEA, Phx,16:15,162,0
PR568,PR,2026-08-20,LAS,ORD,07:05,212,-8
BW288,BW,2026-08-18,IAD,DEN,21:50,211,3
AU423,AU,2026-08-23,ORD,DEN,07:55,141,9
SK611,SK,2026-08-22,SLC,DEN,21:30,83,-1
AU578,AU,2026-08-18,DFW,PHX,13:50,129,6
SK594,SK,2026-08-23,DEN,IAH,14:30,138,9
PR229,PR,2026-08-20,JFK,ATL,17:20,136,13
SK403,SK,2026-08-17,CLT,DFW,17:40,145,-3
BW130,BW,2026-08-20,BOS,ORD,17:35,140,-5
BW318,BW,2026-08-23,ATL,MIA,07:15,104,20
SK711,SK,2026-08-20,LAX,SFO,15:55,76,0
PR494,PR,8/18/2026,DEN,ORD,20:10,139,6
BW160,BW,8/22/2026,JFK,LAX,16:10,347,-7
AU438,AU,2026-08-19,SEA,ORD,13:20,247,72
PR581,PR,2026-08-20,DTW,LAX,10:10,279,11
BW181,BW,2026-08-21,JFK, Sfo,15:00,343,1
SK517,SK,2026-08-20,MSP,SLC,12:45,162,-1
AU107,AU,8/19/2026,JFK,BOS,10:00,69,11
BW419,BW,2026-08-21,SEA,ORD,09:25,247,32
AU217,AU,2026-08-18,JFK,ORD,10:05,124,5
BW488,BW,2026-08-23,ORD,SLC,05:15,184,20
AU182,AU,2026-08-23,JFK,SFO,14:15,360,131
PR347,PR,2026-08-20,DFW,ATL,20:45,121,-3
SK656,SK,2026-08-20,SFO,DEN,13:40,150,0
AU616,AU,2026-08-23,DEN,PHX,21:00,104,2
SK622,SK,8/19/2026,DEN,LAS,17:50,118,5
BW524,BW,8/17/2026,DEN,DFW,13:00,107,65
SK590,SK,8/17/2026,DEN,IAH,08:45,132,-3
PR627,PR,2026-08-17,LAX,DFW,21:55,193,49
PR188,PR,2026-08-18,LAX,JFK,07:00,344,7
AU727,AU,2026-08-22,SEA, Sfo,17:00,105,4
BW643,BW,2026-08-19,SEA,PHX,20:15,164,11
PR773,PR,8/18/2026,sea,SFO,05:10,127,6
BW212,BW,8/18/2026,JFK,ATL,11:05,126,-8
BW464,BW,8/22/2026,DTW,ORD,20:00,52,24
BW481,BW,2026-08-23,ORD,LAS,13:10,207,13
PR183,PR,2026-08-17,JFK,LAX,17:45,340,10
SK515,SK,2026-08-18,SEA,MSP,13:05,205,1
SK438,SK,2026-08-18,ORD,SFO,06:50,279,1
AU363,AU,2026-08-20,ATL,SEA,13:20,308,67
SK526,SK,8/18/2026,DFW,DEN,15:15,117,20
SK178,SK,2026-08-22,JFK,LAX,16:55,347,-7
BW273,BW,2026-08-17,ORD,PHL,21:30,106,51
PR321,PR,8/23/2026,ATL,IAD,20:50,102,29
PR224,PR,2026-08-21,JFK,ATL,06:00,121,2
SK226,SK,2026-08-21,JFK,ATL,13:40,126,22
BW397,BW,2026-08-18,MIA ,LAX,18:20,323,13
AU170,AU,2026-08-18,JFK,LAX,11:50,349,6
PR542,PR,2026-08-22,DTW,ORD,06:25,65,4
AU648,AU,2026-08-22,SFO,DEN,17:05,149,2
SK667,SK,2026-08-18,slc,SEA,18:10,114,10
SK289,SK,8/20/2026,PHL,ATL,08:05,119,12
SK149,SK,2026-08-23,BOS,DTW,16:05,121,31
SK280,SK,2026-08-18,PHL,ORD,19:10,108,62
PR749,PR,2026-08-22,SFO ,LAX,21:00,82,10
AU243,AU,8/23/2026,EWR,SFO ,12:15,347,7
SK398,SK,2026-08-21,CLT,ORD,13:10,108,-5
BW186,BW,8/20/2026,SFO,JFK,15:40,361,62
SK311,SK,2026-08-20,IAD,ATL,20:05,112,-7
AU305,AU,2026-08-22,ORD,ATL,08:10,102,3
BW667,BW,8/22/2026,LAX,SFO,17:55,65,-8
AU510,AU,8/18/2026,SLC,ORD,18:10,178,-7
BW362,BW,8/21/2026,LAX,ATL,21:00,279,52
AU348,AU,2026-08-21, Atl,LAX,13:50,269,1
SK248,SK,2026-08-21,EWR,ORD,08:15,117,35
AU291,AU,8/18/2026,ATL,IAD,18:50,95,-5
PR441,PR,2026-08-20,ATL,PHX,17:05,223,-1
AU133,AU,2026-08-19,ATL,BOS,13:00,146,3
BW101,BW,2026-08-20,BOS,JFK,09:25,48,-2
SK643,SK,2026-08-23,LAX,den,11:40,140,13
AU642,AU,2026-08-22,DEN,SFO,08:15,150,-1
AU713,AU,2026-08-21,SEA,LAX,07:55,146,12
PR500,PR,2026-08-21,ORD,SEA,10:40,242,89
SK118,SK,2026-08-18,IAD,BOS,15:55,81,-6
PR307,PR,2026-08-18,CLT,PHL,14:20,83,6
AU189,AU,2026-08-20,SFO,jfk,15:55,355,-5
SK417,SK,2026-08-17,LAX,MIA,08:50,316,-4
BW326,BW,8/23/2026,MIA,ATL,19:30,97,73
AU452,AU,2026-08-17,ORD,LAX,11:00,244,6
PR358,PR,2026-08-22,ATL,MIA,14:40,108,-1
SK584,SK,2026-08-19,SLC,DFW,12:55,150,0
PR357,PR,2026-08-21,ATL,MIA,08:20,92,4
PR328,PR,2026-08-17,ATL,ORD,14:55,86,7
AU294,AU,8/22/2026,ATL,ORD,18:20,123,57
SK379,SK,2026-08-18,SEA,ATL,07:45,291,12
BW369,BW,2026-08-17,ATL,IAH,17:50,121,-3
BW304,BW,2026-08-17,ATL,DFW,20:00,124,27
BW118,BW,2026-08-21,IAD, Bos,15:10,82,-7
AU198,AU,2026-08-18,MIA,JFK ,09:00,172,9
BW470,BW,2026-08-20,ORD,DFW,07:00,120,34
AU131,AU,2026-08-17,ATL,BOS,09:00,161,-2
AU489,AU,2026-08-19, Ord,DFW,18:10,136,4
PR649,PR,2026-08-17,DFW,SLC,05:20,150,-2
BW530,BW,2026-08-21, Dfw,LAX ,19:55,182,-8
PR413,PR,2026-08-19,LAX,ATL,15:30,273,3
PR761,PR,2026-08-20,SEA,LAX,08:35,144,1
SK709,SK,2026-08-17,LAX,SFO,10:05,64,13
SK560,SK,2026-08-23,DFW,PHX,14:05,145,7
SK344,SK,2026-08-21,ATL,MIA,06:55,107,41
BW571,BW,2026-08-21, Lax,IAH,15:25,202,-6
AU199,AU,2026-08-22,MIA,JFK,19:25,168,-1
BW336,BW,8/20/2026,CLT,ATL,09:35,58,12
PR585,PR,2026-08-18,LAX,DTW,05:25,279,15
BW373,BW,2026-08-22,ATL,IAH,13:10,113,60
SK154,SK,2026-08-20,MSP,BOS,06:05,176,-7
SK332,SK,2026-08-19,ATL,DFW,15:00,127,13
AU677,AU,2026-08-22,LAX,PHX,07:35,88,-5
SK524,SK,2026-08-22,DFW,DEN,14:15,115,11
SK619,SK,2026-08-19,PHX, Den,13:40,111,1
PR338,PR,2026-08-19,ATL,dfw,10:55,127,6
BW157,BW,2026-08-19,BOS,SFO,09:55,375,-3
AU387,AU,2026-08-19,PHX,ATL,11:10,221,4
SK569,SK,2026-08-22,PHX,dfw,19:15,130,-1
PR709,PR,8/22/2026,LAX,DEN,14:50,137,11
PR563,PR,2026-08-17,ORD,LAS,05:50,225,8
AU458,AU,2026-08-18,LAX,ORD,05:05,258,35
SK216,SK,2026-08-17,JFK,MIA,12:00,172,5
SK122,SK,2026-08-23,BOS,ATL,10:50,151,-6
AU187,AU,2026-08-20,SFO,JFK,17:30,354,14
PR693,PR,8/23/2026,DEN,LAS,07:15,111,8
AU205,AU,2026-08-19, Jfk,ATL,08:50,128,42
AU638,AU,2026-08-19,LAX,DEN,06:50,138,12
SK625,SK,2026-08-17,DEN,LAS,08:35,97,13
BW159,BW,8/23/2026,SFO,BOS,17:35,374,23
PR238,PR,2026-08-17,ORD,JFK,09:50,125,-8
BW557,BW,2026-08-20,IAH,DEN,13:15,130,8
AU159,AU,8/19/2026,DFW,BOS,11:10,222,6
PR670,PR,2026-08-20,LAX,IAH,07:10,198,4
PR594,PR,2026-08-19,MSP,SEA,15:10,213,12
PR623,PR,2026-08-20,LAX,DFW,05:00,186,28
SK604,SK,2026-08-23,DEN,SLC,07:25,76,-1
PR739,PR,8/18/2026,LAS,LAX,19:25,68,-3
PR766,PR,2026-08-18,SFO,SEA,07:30,115,4
PR423,PR,8/17/2026,ATL,SEA,08:55,305,75
AU651,AU,2026-08-23,SFO,DEN,07:35,144,12
AU142,AU,2026-08-20,ORD ,BOS,13:40,139,2
BW351,BW,2026-08-23,DEN,ATL,08:05,187,1
AU544,AU,2026-08-19,DEN,DFW,12:20,119,12
BW473,BW,8/19/2026,dfw,ORD,16:55,135,-2
BW460,BW,2026-08-21,ORD,DTW,11:55,65,33
AU494,AU,8/17/2026,DFW,ORD ,10:20,131,-4
AU216,AU,8/22/2026,ATL,JFK,18:45,132,116
PR532,PR,2026-08-20, Msp,ORD,07:40,67,11
PR354,PR,2026-08-19,DFW,ATL,10:00,119,-6
SK525,SK,8/23/2026,DFW,DEN,09:20,93,-4
BW606,BW,2026-08-20,DEN,sfo,16:35,149,7
BW163,BW,2026-08-17, Jfk,LAX,14:25,346,20
SK638,SK,2026-08-20,DEN,LAX,11:05,133,14
AU530,AU,8/21/2026,SEA,MSP,20:35,203,10
SK587,SK,2026-08-21,IAH,DEN,13:15,144,-4
AU318,AU,8/20/2026,DFW,ATL,12:00,117,0
BW246,BW,2026-08-17,EWR,SFO,06:15,342,-8
SK606,SK,2026-08-20,DEN,SLC,10:55,75,3
AU370,AU,2026-08-20,SEA,ATL,16:10,302,-6
PR490,PR,2026-08-22,ORD,DEN ,19:00,142,0
BW383,BW,8/18/2026, Clt,ORD,13:30,107,-4
AU715,AU,2026-08-22,SEA,LAX,10:05,144,-3
PR648,PR,2026-08-22,DFW,Salt Lake City International,19:35,153,-5
PR536,PR,2026-08-21,ORD,DTW,10:25,60,22
PR707,PR,2026-08-22,LAX,DEN,09:55,130,12
SK635,SK,8/20/2026,DEN,LAX,17:00,141,8
AU617,AU,2026-08-17,PHX,DEN,19:40,102,-4
SK326,SK,2026-08-20,ORD,ATL,10:15,99,10
BW234,BW,2026-08-17,EWR,ORD,06:10,120,0
BW456,BW,8/19/2026,ORD,DTW,06:40,57,-8
PR145,PR,2026-08-17,ORD,BOS,06:30,133,-3
BW155,BW,8/19/2026,DFW,BOS,05:00,217,0
BW691,BW,2026-08-19,SFO,SEA,17:00,117,42
SK610,SK,2026-08-20,SLC,DEN,12:15,78,-4
PR398,PR,8/23/2026,DEN,ATL,17:35,178,-7
PR405,PR,2026-08-17,ATL,LAX,21:15,263,2
AU274,AU,2026-08-19,PHL,CLT,07:50,80,13
AU323,AU,2026-08-17,MIA,ATL,11:20,110,2
SK582,SK,2026-08-18,DFW,SLC,19:35,151,16
PR435,PR,2026-08-20,IAH,ATL,14:45,109,32
SK307,SK,2026-08-17,IAD,ATL,17:40,105,1
SK323,SK,2026-08-22,atl,ORD,08:25,103,21
SK367,SK,2026-08-17,ATL,LAX,10:00,273,11
AU249,AU,2026-08-21,SFO,EWR,12:10,342,4
PR240,PR,8/21/2026,ORD,JFK,14:05,112,9
AU566,AU,2026-08-18,DFW,SEA,07:00,230,104
SK381,SK,8/19/2026,SEA,ATL,17:20,302,10
AU443,AU,2026-08-19,ORD,SFO,19:45,261,-5
PR374,PR,2026-08-20,MIA,ATL,21:10,96,-8
AU723,AU,2026-08-17,SEA,SFO,09:05,115,5
SK578,SK,2026-08-23,LAS,DFW,08:15,153,n/a
BW461,BW,2026-08-22,ORD,DTW,09:10,57,4
PR150,PR,8/18/2026,ORD,BOS,15:55,140,4
PR344,PR,2026-08-20,ATL,DFW,09:10,132,-1
PR186,PR,2026-08-20,JFK,LAX,21:35,336,-5
AU314,AU,2026-08-17,ATL,DFW,21:45,126,14
PR265,PR,2026-08-19,EWR,SFO,11:55,349,5
AU407,AU,2026-08-21,DFW,MIA,15:40,166,-2
AU618,AU,2026-08-21,PHX,DEN ,09:25,105,12
AU520,AU,2026-08-17,MSP,DEN,05:20,112,2
PR384,PR,2026-08-18, Clt,ATL,21:15,62,-8
AU219,AU,2026-08-22,JFK,ORD,11:30,119,4
PR411,PR,2026-08-17,ATL,LAX,15:20,267,11
BW143,BW,8/21/2026,BOS,MSP ,07:50,163,23
SK177,SK,2026-08-18,JFK,LAX,12:00,336,12
BW257,BW,2026-08-20,EWR,iah,06:20,211,37
PR700,PR,8/23/2026,DEN,LAX,20:45,137,2
PR657,PR,2026-08-18,IAH,DEN,05:05,133,11
PR603,PR,2026-08-17,SLC,MSP,12:55,162,6
BW230,BW,8/19/2026,JFK,SEA,20:55,331,12
BW566,BW,2026-08-22,IAH,LAX,17:10,204,3
SK459,SK,2026-08-19,LAX,ORD,14:35,252,5
AU604,AU,8/23/2026,LAX,IAH,15:35,199,10
PR180,PR,2026-08-17,JFK,LAX,11:10,334,30
BW663,BW,8/23/2026,LAX,SFO,09:00,80,98
BW349,BW,8/20/2026,den,ATL,16:25,182,-2
PR318,PR,2026-08-17,IAD,ATL,18:00,87,6
BW350,BW,2026-08-21,DEN,ATL,16:00,176,
SK659,SK,8/17/2026,SFO,DEN,06:40,159,-2
SK231,SK,2026-08-22,ATL ,JFK,13:20,127,3
AU585,AU,2026-08-22,DFW,LAS,18:35,162,6
SK297,SK,2026-08-17,PHL,CLT,17:50,93,10
SK561,SK,8/19/2026,dfw,PHX,11:25,147,48
AU625,AU,2026-08-20,LAS,DEN,11:25,115,92
AU475,AU,2026-08-21,MSP,ORD,20:10,62,
AU450,AU,2026-08-23,ORD,LAX,05:40,250,6
PR559,PR,2026-08-17, Ord,LAS,21:05,204,3
BW676,BW,2026-08-19,LAX, Sea,12:55,155,44
AU139,AU,2026-08-18,ORD,BOS,06:50,138,72
SK685,SK,2026-08-17,PHX,SEA,21:05,176,-8
BW422,BW,2026-08-17,ORD,SFO,11:15,271,32
BW106,BW,2026-08-22,JFK,BOS,21:05,54,34
PR261,PR,2026-08-21,ORD,EWR,16:50,117,-5
AU369,AU,8/18/2026,SEA,ATL,17:55,305,14
SK694,SK,8/19/2026,LAS,LAX,13:40,55,7
PR730,PR,2026-08-17,LAX,PHX,15:30,77,14
AU374,AU,2026-08-20,IAH,ATL,13:05,119,1
BW627,BW,2026-08-17,SEA,SLC,21:25,122,13
BW366,BW,2026-08-19, Atl,SEA,07:15,305,8
SK570,SK,2026-08-17,PHX,DFW,07:15,133,-3
AU277,AU,2026-08-19, Clt,PHL,18:35,81,13
BW586,BW,8/18/2026,DEN,LAS,07:05,112,-5
SK684,SK,2026-08-23,PHX,SEA,09:40,166,4
BW664,BW,2026-08-18,LAX,SFO,18:10,74,-4
SK710,SK,8/18/2026,LAX,SFO,06:40,64,12
AU273,AU,2026-08-23,ATL,PHL,19:10,112,72
SK689,SK,8/17/2026,LAS,LAX,08:25,57,13
SK704,SK,2026-08-18, Lax,LAS,16:05,60,83
SK615,SK,2026-08-23,DEN,PHX,07:05,106,6
BW298,BW,2026-08-21,ATL,ORD,11:55,104,8
BW614,BW,2026-08-21,SFO,DEN,14:20,159,10
AU116,AU,2026-08-20,JFK,BOS,05:10,45,5
BW179,BW,2026-08-20,JFK,SFO,21:55,352,12
BW588,BW,2026-08-21,DEN,LAS,20:45,106,0
PR543,PR,2026-08-17,ORD,DFW,05:15,132,4
SK484,SK,2026-08-20,DFW,ORD,05:15,134,19
AU132,AU,2026-08-18,ATL,BOS,21:15,152,-8
BW332,BW,8/17/2026,ATL,CLT,17:15,54,-1
PR110,PR,2026-08-21,BOS,JFK,19:00,43,99
BW671,BW,2026-08-21,SFO,LAX,09:15,68,16
BW477,BW,2026-08-22,DFW,ORD,12:45,132,1
BW294,BW,2026-08-21,ATL,IAD,12:00,96,20
AU640,AU,2026-08-18,LAX,DEN,06:10,132,-1
SK109,SK,2026-08-17,BOS,JFK,20:40,53,11
PR235,PR,8/22/2026,JFK,ORD,11:35,116,27
AU557,AU,2026-08-22,LAX,DFW,13:10,185,14
AU380,AU,2026-08-17,ATL,PHX,19:50,225,1
SK350,SK,8/21/2026,ATL,CLT,07:15,52,-1
SK428,SK,8/22/2026,DEN,ORD,18:50,140,5
BW612,BW,8/18/2026,SFO,den,08:00,148,8
AU158,AU,2026-08-23,BOS,dfw,14:20,231,13
SK422,SK,2026-08-22,ORD,DEN,13:40,134,13
PR667,PR,2026-08-20,iah,LAX,17:35,205,-1
PR633,PR,2026-08-20,DFW,PHX,16:55,132,25
PR282,PR,8/20/2026,IAH, Ewr,12:10,200,2
BW404,BW,2026-08-20,ORD,DEN,21:10,147,10
AU444,AU,2026-08-21,ORD,SFO,15:55,252,-8
AU292,AU,8/19/2026,ATL,IAD,12:15,90,12
AU153,AU,2026-08-18,DEN ,BOS,17:00,255,1
AU505,AU,8/18/2026,ORD,SLC,10:10,172,14
SK245,SK,8/21/2026,EWR,ORD,06:20,117,7
SK503,SK,2026-08-22,MSP,DTW,20:00,92,10
SK399,SK,2026-08-17,ORD,CLT,16:00,101,37
PR465,PR,8/21/2026,MIA,DFW,12:35,173,32
SK354,SK,8/19/2026,ATL,CLT,20:20,53,-6
PR647,PR,2026-08-21,DFW ,SLC,05:10,154,0
SK263,SK,2026-08-17,SFO,EWR,08:55,347,0
BW202,BW,8/21/2026,MIA,JFK,14:50,183,16
PR561,PR,2026-08-17, Ord,LAS,13:35,212,-8
PR768,PR,8/18/2026, Sfo,SEA,12:30,114,7
SK240,SK,8/22/2026,ORD,JFK,07:35,110,18
BW239,BW,2026-08-22,ewr,ORD,05:05,122,77
PR444,PR,2026-08-22,PHX,ATL,12:15,232,12
SK286,SK,2026-08-23,PHL,ATL,10:55,122,4
PR287,PR,2026-08-21,ORD,PHL,17:05,113,6
SK171,SK,2026-08-20,BOS,SFO,06:05,364,11
BW289,BW,2026-08-21,IAD,DEN,18:55,213,13
PR251,PR,8/18/2026,SEA, Jfk,19:40,330,11
BW393,BW,2026-08-23,DFW,CLT,10:50,139,-2
SK699,SK,2026-08-19,lax,LAS,13:00,60,14
SK461,SK,2026-08-17,LAX,ORD,17:20,257,6
SK549,SK,2026-08-19,DFW,SEA,09:35,238,4
AU137,AU,2026-08-20,ORD,BOS,08:35,136,5
SK686,SK,2026-08-20,PHX,SEA,17:40,172,12
PR207,PR,2026-08-23,SFO,JFK,07:55,361,38
PR434,PR,2026-08-21, Iah,ATL,05:40,112,12
BW582,BW,2026-08-18,PHX,DEN,18:55,107,6
BW403,BW,2026-08-19,ORD,DEN,21:25,142,0
SK634,SK,2026-08-18,DEN,lax,08:05,137,-8
SK588,SK,2026-08-23,iah,DEN,19:20,147,12
BW325,BW,8/22/2026,MIA,Hartsfield-Jackson Atlanta International,11:35,100,10
AU550,AU,2026-08-17,dfw,LAX,11:40,186,0
SK387,SK,2026-08-22,IAH,ATL,14:20,109,-1
SK165,SK,2026-08-18,BOS,DFW,11:30,213,-5
AU154,AU,2026-08-20,DEN,BOS,15:00,243,-1
AU404,AU,2026-08-17,MIA,DFW,15:50,163,1
AU181,AU,2026-08-22,LAX,JFK,20:55,339,10
BW610,BW,2026-08-20,SFO,DEN,09:55,142,56
BW415,BW,2026-08-22,ORD,SEA,15:20,241,8
SK574,SK,2026-08-23,DFW,LAS,16:10,161,78
BW313,BW,8/19/2026,DFW,ATL,16:40,127,3
PR531,PR,8/18/2026,MSP,ORD,21:50,80,-3
PR245,PR,2026-08-21, Jfk,SEA,14:20,324,-4
BW544,BW,8/17/2026,DFW,LAS,15:30,152,0
PR754,PR,2026-08-23,LAX, Sea,09:05,158,25
AU540,AU,8/23/2026,DFW,DEN,05:40,108,12
BW407,BW,2026-08-20,DEN,ORD,19:15,140,-6
BW448,BW,2026-08-18,ORD,MSP,17:20,71,21
AU161,AU,2026-08-20,DFW,BOS,17:15,228,24
PR482,PR,2026-08-20,ORD,DEN,05:35,135,36
SK380,SK,2026-08-23,SEA,ATL,14:55,298,4
BW420,BW,2026-08-22,SEA,ORD,15:55,247,66
AU329,AU,2026-08-21,ATL,CLT,15:25,59,-1
SK486,SK,2026-08-22,DFW,ORD,21:20,110,18
BW639,BW,2026-08-23,LAX,PHX,11:25,71,66
AU315,AU,2026-08-23,DFW,ATL,20:45,122,13
SK173,SK,2026-08-18,SFO,BOS ,17:20,372,129
AU186,AU,2026-08-18,SFO,JFK,21:05,352,4
PR276,PR,2026-08-18,DEN,EWR,19:25,231,9
BW660,BW,2026-08-23,LAX,SFO,21:50,78,-8
PR757,PR,2026-08-20,SEA,LAX,05:10,147,13
PR386,PR,8/22/2026,clt,ATL,21:50,45,1
AU529,AU,2026-08-17,SEA,MSP,05:20,210,-3
BW333,BW,2026-08-20,ATL,CLT,21:15,60,8
PR131,PR,8/19/2026,ATL,BOS,07:15,150,13
SK352,SK,2026-08-21,ATL,CLT,08:40,53,166
SK366,SK,2026-08-23,ATL,LAX,10:25,266,6
BW401,BW,8/17/2026,ORD,DEN,14:45,145,4
BW412,BW,2026-08-19,DEN, Ord,19:30,146,-2
SK405,SK,8/21/2026,DFW, Clt,07:35,159,3
PR732,PR,2026-08-18,LAX,PHX ,21:30,80,3
BW656,BW,2026-08-23,LAX,LAS,09:35,63,4
AU114,AU,2026-08-17,JFK,BOS,10:40,66,8
AU586,AU,2026-08-17,DFW,LAS,05:35,162,-3
SK389,SK,8/22/2026,IAH,ATL,07:45,108,57
PR400,PR,2026-08-19,DEN, Atl,20:20,179,12
SK447,SK,2026-08-21,SFO, Ord,19:50,264,11
BW153,BW,8/22/2026,DFW,BOS,12:05,225,4
SK356,SK,2026-08-22,ATL,CLT,10:40,50,3
PR132,PR,8/21/2026,ATL,BOS,09:20,146,12
SK457,SK,2026-08-18,ORD,LAX,07:25,255,44
PR564,PR,2026-08-21,ORD,las,07:05,218,41
AU541,AU,2026-08-23,DFW,DEN,06:25,106,-1
SK374,SK,2026-08-17,LAX,ATL,13:10,276,12
SK497,SK,2026-08-19,SLC, Ord,13:20,193,11
BW463,BW,2026-08-17,DTW,ORD,05:15,74,-8
PR388,PR,2026-08-20,CLT,ATL,08:45,61,9
AU516,AU,2026-08-17,DTW,LAX,10:40,285,2
BW581,BW,2026-08-18,DEN,PHX,19:40,104,6
AU235,AU,2026-08-20,ORD,EWR,16:20,117,-8
AU615,AU,2026-08-22, Den,PHX,06:05,103,9
BW284,BW,8/17/2026,CLT,PHL,12:55,92,-2
SK124,SK,2026-08-19,BOS,ATL,19:25,153,15
BW371,BW,2026-08-20,atl,IAH,14:50,118,0
BW324,BW,2026-08-19,MIA,ATL,17:45,105,-8
PR666,PR,2026-08-19,IAH,lax,12:35,194,-8
SK510,SK,2026-08-23,MSP,DEN,07:00,111,9
PR449,PR,2026-08-17,clt,ORD,20:20,102,-8
AU614,AU,8/20/2026,DEN,PHX ,21:25,105,5
BW679,BW,2026-08-18,LAX,sea,19:45,144,9
BW552,BW,8/23/2026,DFW,SLC,19:20,157,11
PR599,PR,8/23/2026,MSP,SLC,15:30,163,5
BW353,BW,2026-08-22,DEN, Atl,16:35,181,1
BW645,BW,2026-08-22,LAS,lax,05:20,57,34
AU441,AU,8/23/2026,ORD,SFO,12:15,253,90
BW123,BW,2026-08-22,BOS,ATL,14:20,150,7
PR513,PR,2026-08-17,ORD,LAX,16:55,248,-6
BW168,BW,2026-08-21,JFK,LAX,13:35,337,-6
SK598,SK,2026-08-22,LAX ,IAH,18:50,184,15
BW417,BW,2026-08-20,SEA,ORD,20:15,243,54
SK316,SK,2026-08-17,ATL,IAD,06:15,89,10
PR129,PR,2026-08-21,BOS,ATL,12:20,140,16
AU152,AU,2026-08-18,MSP,BOS,09:25,180,3
PR247,PR,2026-08-19,SEA,JFK,20:50,334,14
AU337,AU,8/23/2026,CLT,ATL,06:10,51,-8
BW236,BW,2026-08-20,EWR,ORD,06:50,116,6
SK136,SK,2026-08-21,ATL,BOS,10:50,157,-1
AU109,AU,2026-08-21,JFK,BOS,09:25,54,50
AU537,AU,2026-08-17,SLC,MSP,10:40,159,46
AU702,AU,8/19/2026,SFO,LAX,05:55,73,43
SK365,SK,2026-08-17,ATL,LAX,10:35,278,46
SK706,SK,2026-08-17,LAX,SFO,13:00,59,11
AU670,AU,2026-08-18,PHX,LAX,05:25,76,6
SK278,SK,8/20/2026,PHL,ORD,10:20,119,9
AU601,AU,2026-08-20,IAH,LAX,09:50,189,13
PR337,PR,8/23/2026,ATL,DFW,14:40,121,34
SK616,SK,2026-08-18,DEN,PHX,17:00,114,6
SK477,SK,8/22/2026,ORD,DFW,21:05,123,
BW595,BW,2026-08-21,DEN,LAX,17:50,132,-2
PR146,PR,2026-08-19,ord,BOS,10:25,134,3
BW140,BW,2026-08-20,DTW,BOS,10:20,106,-8
AU482,AU,2026-08-18,DTW,ORD,14:05,62,15
AU395,AU,2026-08-22,ord,CLT ,08:45,102,39
PR271,PR,2026-08-19,EWR,DEN,10:10,238,-8
AU256,AU,2026-08-20,DEN,EWR,08:30,234,43
SK195,SK,2026-08-22,JFK,SFO,07:45,352,4
SK589,SK,8/17/2026,IAH,den,10:10,134,-4
SK129,SK,2026-08-17, Atl,BOS,10:35,148,35
PR360,PR,2026-08-17,ATL,MIA,05:55,106,28
SK697,SK,2026-08-19,LAS,LAX,21:25,60,-1
AU486,AU,8/20/2026,ORD,DFW,10:50,127,7
AU609,AU,8/21/2026,SLC ,DEN,10:45,79,14
AU385,AU,2026-08-17,ATL,PHX ,12:10,216,2
PR154,PR,2026-08-20,BOS,DTW,09:30,115,2
PR613,PR,2026-08-17,DEN,DFW,12:20,113,0
SK690,SK,2026-08-18,LAS,LAX,11:35,61,1
BW319,BW,2026-08-17,ATL,MIA,16:40,112,14
BW150,BW,2026-08-20,BOS ,DFW,11:05,236,5
AU446,AU,2026-08-19,SFO,ORD,14:50,263,4
SK516,SK,8/19/2026,SEA,MSP,17:25,201,-7
PR683,PR,2026-08-21,DEN,PHX,09:30,106,-2
SK276,SK,2026-08-18,PHL,ORD,06:45,119,12
PR595,PR,8/20/2026,MSP,SEA,21:25,197,3
BW605,BW,2026-08-20,DEN,SFO,21:45,152,-3
BW536,BW,2026-08-21,DFW,DFW,16:05,130,-5
PR742,PR,2026-08-20,LAX,LAS,20:30,64,-1
BW223,BW,8/21/2026,JFK ,ORD,16:05,120,69
BW342,BW,2026-08-19,ATL,DEN,21:25,182,14
BW498,BW,8/21/2026,lax,DTW ,05:00,270,-3
SK418,SK,2026-08-19,LAX,MIA,12:45,317,-2
AU528,AU,2026-08-23,MSP,SEA,15:45,199,-2
BW515,BW,2026-08-18,DFW,DEN,11:00,110,1
SK218,SK,2026-08-19,JFK,MIA,18:45,164,-8
SK172,SK,2026-08-17,SFO,BOS,20:05,367,17
BW578,BW,8/18/2026,SLC,DEN,14:40,72,6
PR586,PR,2026-08-19,LAX, Dtw,14:25,286,13
SK513,SK,2026-08-17,MSP,SEA,17:15,202,25
PR152,PR,2026-08-22,ORD,BOS,08:00,128,7
BW520,BW,8/21/2026,DFW,den,16:10,105,11
BW368,BW,2026-08-22,SEA,ATL,05:20,298,8
SK736,SK,2026-08-20,SFO,SEA,12:30,121,1
SK566,SK,2026-08-23, Phx,DFW,20:40,145,3
PR126,PR,2026-08-19,BOS,ATL,09:30,145,34
PR326,PR,2026-08-22,ATL,ORD,09:55,100,-8
AU427,AU,2026-08-23,DEN,ORD,15:05,157,-1
