station_name,snapshot_time,bikes_available,docks_available,capacity
Vesey Pl & River Terrace,2026-08-18T21:59:00,19,21,40
Cleveland Pl & Spring St,2026-08-18T21:59:00,0,35,35
Broadway & Battery Pl,2026-08-18T21:59:00,26,14,40
1 Ave & E 68 St,2026-08-18T21:59:00,25,15,
E 72 St & York Ave,2026-08-18T21:59:00,22,13,35
Lexington Ave & E 63 St,2026-08-18T21:59:00,35,0,35
E 75 St & 3 Ave,2026-08-18T21:59:00,15,15,30
W 41 St & 8 Ave,2026-08-18T22:59:00,6,49,55
Pershing Square North,2026-08-18T22:59:00,12,48,60
E 47 St & Park Ave,2026-08-18T22:59:00,8,32,40
Broadway & W 41 St,2026-08-18T22:59:00,4,41,45
W 33 St & 7 Ave,2026-08-18T22:59:00,14,36,50
6 Ave & W 33 St,2026-08-18T22:59:00,4,31,35
E 43 St & Vanderbilt Ave,2026-08-18T22:59:00,11,29,40
W 45 St & 6 Ave,2026-08-18T22:59:00,5,30,35
W 21 St & 6 Ave,2026-08-18T22:59:00,24,21,45
8 Ave & W 31 St,2026-08-18T22:59:00,24,26,
W 20 St & 11 Ave,2026-08-18T22:59:00,13,17,30
W 26 St & 8 Ave,2026-08-18T22:59:00,16,19,35
W 17 St & 8 Ave,2026-08-18T22:59:00,19,21,40
9 Ave & W 22 St,2026-08-18T22:59:00,25,5,30
Broadway & E 14 St,2026-08-18T22:59:00,48,2,50
Lafayette St & E 8 St,2026-08-18T22:59:00,39,6,45
E 17 St & Broadway,2026-08-18T22:59:00,36,4,
University Pl & E 14 St,2026-08-18T22:59:00,34,1,35
Carmine St & 6 Ave,2026-08-18T22:59:00,29,1,30
Christopher St & Greenwich St,2026-08-18T22:59:00,29,1,30
E 7 St & Avenue A,2026-08-18T22:59:00,31,4,35
West St & Chambers St,2026-08-18T22:59:00,18,27,45
South End Ave & Liberty St,2026-08-18T22:59:00,26,9,35
Vesey Pl & River Terrace,2026-08-18T22:59:00,19,21,40
Cleveland Pl and Spring St,2026-08-18T22:59:00,0,35,
Broadway & Battery Pl,2026-08-18T22:59:00,26,14,40
1 Ave & E 68 St,2026-08-18T22:59:00,24,16,40
E 72 St & York Ave,2026-08-18T22:59:00,22,13,35
Lexington Ave & E 63 St,2026-08-18T22:59:00,35,0,35
e 75 st & 3 ave,2026-08-18T22:59:00,15,15,30
W 41 St & 8 Ave,2026-08-18T23:59:00,6,49,55
Pershing Square North,2026-08-18T23:59:00,12,48,60
E 47 St & Park Ave,2026-08-18T23:59:00,8,32,
Broadway & W 41 St,2026-08-18T23:59:00,4,41,45
W 33 St and 7 Ave,2026-08-18T23:59:00,14,36,50
6 Ave & W 33 St,2026-08-18T23:59:00,3,32,35
E 43 St & Vanderbilt Ave,2026-08-18T23:59:00,11,29,40
W 45 St & 6 Ave,2026-08-18T23:59:00,5,30,35
W 21 St & 6 Ave,2026-08-18T23:59:00,23,22,45
8  Ave & W 31 St,2026-08-18T23:59:00,24,26,50
W 20 St & 11 Ave,2026-08-18T23:59:00,12,18,30
W 26 St & 8 Ave,2026-08-18T23:59:00,15,20,35
W 17 St & 8 Ave,2026-08-18T23:59:00,18,22,40
9 ave & w 22 st,2026-08-18T23:59:00,24,6,30
Broadway & E 14 St,2026-08-18T23:59:00,48,2,50
Lafayette St & E 8 St,2026-08-18T23:59:00,39,6,45
E 17 St & Broadway,2026-08-18T23:59:00,37,3,40
university pl & e 14 st,2026-08-18T23:59:00,34,1,35
Carmine St & 6 Ave,2026-08-18T23:59:00,29,1,30
Christopher St & Greenwich St,2026-08-18T23:59:00,29,1,30
E 7 St & Avenue A,2026-08-18T23:59:00,30,5,35
West St & Chambers St,2026-08-18T23:59:00,18,27,45
south end ave & liberty st,2026-08-18T23:59:00,25,10,35
Vesey Pl & River Terrace,2026-08-18T23:59:00,19,21,40
Cleveland Pl & Spring St,2026-08-18T23:59:00,2,33,35
Broadway & Battery Pl,2026-08-18T23:59:00,27,13,40
1 Ave & E 68 St,2026-08-18T23:59:00,23,17,40
E 72 St & York Ave,2026-08-18T23:59:00,22,13,35
Lexington Ave & E 63 St,2026-08-18T23:59:00,34,1,35
e 75 st & 3 ave,2026-08-18T23:59:00,15,15,30
W 41 St & 8 Ave,2026-08-19T00:59:00,7,48,55
Pershing Square North,2026-08-19T00:59:00,12,48,60
E 47 St & Park Ave,2026-08-19T00:59:00,8,32,40
Broadway & W 41 St,2026-08-19T00:59:00,4,41,45
W  33 St & 7 Ave,2026-08-19T00:59:00,14,36,50
6 Ave & W 33 St,2026-08-19T00:59:00,4,31,35
E 43 St & Vanderbilt Ave,2026-08-19T00:59:00,10,30,40
W 45 St & 6 Ave,2026-08-19T00:59:00,5,30,35
W 21 St & 6 Ave,2026-08-19T00:59:00,24,21,45
8 Ave & W 31 St,2026-08-19T00:59:00,24,26,50
W 20 St & 11 Ave,2026-08-19T00:59:00,13,17,30
W 26 St and 8 Ave,2026-08-19T00:59:00,15,20,35
W 17 St & 8 Ave,2026-08-19T00:59:00,19,21,40
9 Ave & W 22 St,2026-08-19T00:59:00,24,6,30
Broadway & E 14 St,2026-08-19T00:59:00,47,3,50
Lafayette St & E 8 St,2026-08-19T00:59:00,40,5,
E 17 St & Broadway,2026-08-19T00:59:00,36,4,40
University Pl & E 14 St,2026-08-19T00:59:00,33,2,35
Carmine St & 6 Ave,2026-08-19T00:59:00,29,1,30
Christopher St & Greenwich St,2026-08-19T00:59:00,28,2,
E 7 St & Avenue A,2026-08-19T00:59:00,30,5,35
West St & Chambers St,2026-08-19T00:59:00,18,27,45
south end ave & liberty st,2026-08-19T00:59:00,26,9,35
Vesey Pl & River Terrace,2026-08-19T00:59:00,18,22,
Cleveland Pl & Spring St,2026-08-19T00:59:00,1,34,35
Broadway & Battery Pl,2026-08-19T00:59:00,27,13,40
1 Ave & E 68 St,2026-08-19T00:59:00,23,17,40
E 72 St & York Ave,2026-08-19T00:59:00,21,14,35
Lexington Ave & E 63 St,2026-08-19T00:59:00,34,1,35
e 75 st & 3 ave,2026-08-19T00:59:00,15,15,30
W 41 St & 8 Ave,2026-08-19T01:59:00,5,50,55
Pershing Square North,2026-08-19T01:59:00,13,47,60
E 47 St & Park Ave,2026-08-19T01:59:00,8,32,40
Broadway & W 41 St,2026-08-19T01:59:00,3,42,45
W 33 St & 7 Ave,2026-08-19T01:59:00,14,36,50
6 Ave & W 33 St,2026-08-19T01:59:00,4,31,35
E 43 St & Vanderbilt Ave,2026-08-19T01:59:00,12,28,40
W 45 St & 6 Ave,2026-08-19T01:59:00,5,30,35
W 21 St & 6 Ave,2026-08-19T01:59:00,25,20,45
8 Ave & W 31 St,2026-08-19T01:59:00,25,25,50
W 20 St & 11 Ave,2026-08-19T01:59:00,13,17,30
W 26 St & 8 Ave,2026-08-19T01:59:00,15,20,35
W 17 St & 8 Ave,2026-08-19T01:59:00,18,22,40
9 Ave & W 22 St,2026-08-19T01:59:00,25,5,30
Broadway & E 14 St,2026-08-19T01:59:00,47,3,50
Lafayette St & E 8 St,2026-08-19T01:59:00,41,4,45
e 17 st & broadway,2026-08-19T01:59:00,36,4,40
University Pl & E 14 St,2026-08-19T01:59:00,33,2,35
Carmine St & 6 Ave,2026-08-19T01:59:00,28,2,30
Christopher St & Greenwich St,2026-08-19T01:59:00,28,2,30
E 7 St & Avenue A,2026-08-19T01:59:00,30,5,35
West St & Chambers St,2026-08-19T01:59:00,17,28,
South End Ave & Liberty St,2026-08-19T01:59:00,26,9,
Vesey Pl & River Terrace,2026-08-19T01:59:00,18,22,40
Cleveland Pl & Spring St,2026-08-19T01:59:00,1,34,35
Broadway & Battery Pl,2026-08-19T01:59:00,27,13,40
1 Ave & E 68 St,2026-08-19T01:59:00,22,18,40
E 72 St & York Ave,2026-08-19T01:59:00,22,13,35
Lexington Ave & E 63 St,2026-08-19T01:59:00,34,1,
E 75 St & 3 Ave,2026-08-19T01:59:00,16,14,30
W 41 St & 8 Ave,2026-08-19T02:59:00,5,50,55
Pershing Square North,2026-08-19T02:59:00,12,48,60
E 47 St & Park Ave,2026-08-19T02:59:00,7,33,40
Broadway & W 41 St,2026-08-19T02:59:00,3,42,45
w 33 st & 7 ave,2026-08-19T02:59:00,15,35,50
6 Ave & W 33 St,2026-08-19T02:59:00,4,31,
E 43 St & Vanderbilt Ave,2026-08-19T02:59:00,12,28,40
W 45 St & 6 Ave,2026-08-19T02:59:00,4,31,35
W 21 St & 6 Ave,2026-08-19T02:59:00,25,20,45
8 Ave & W 31 St ,2026-08-19T02:59:00,25,25,50
W 20 St & 11 Ave,2026-08-19T02:59:00,13,17,30
W 26 St & 8 Ave,2026-08-19T02:59:00,17,18,35
W 17 St & 8 Ave,2026-08-19T02:59:00,18,22,40
9 Ave & W 22 St,2026-08-19T02:59:00,25,5,30
Broadway & E 14 St,2026-08-19T02:59:00,49,1,
Lafayette  St & E 8 St,2026-08-19T02:59:00,40,5,45
E 17 St & Broadway,2026-08-19T02:59:00,36,4,40
University Pl & E 14 St ,2026-08-19T02:59:00,33,2,35
Carmine St & 6 Ave,2026-08-19T02:59:00,29,1,
Christopher St & Greenwich St,2026-08-19T02:59:00,28,2,30
E 7 St & Avenue A,2026-08-19T02:59:00,30,5,35
West St & Chambers St,2026-08-19T02:59:00,17,28,45
South End Ave & Liberty St,2026-08-19T02:59:00,25,10,35
Vesey Pl & River Terrace,2026-08-19T02:59:00,18,22,40
Cleveland Pl & Spring St,2026-08-19T02:59:00,1,34,35
Broadway & Battery Pl,2026-08-19T02:59:00,27,13,40
1 Ave & E 68 St,2026-08-19T02:59:00,20,20,40
E 72 St & York Ave,2026-08-19T02:59:00,22,13,35
Lexington Ave & E 63 St ,2026-08-19T02:59:00,33,2,35
E 75 St & 3 Ave,2026-08-19T02:59:00,16,14,30
w 41 st & 8 ave,2026-08-19T03:59:00,30,25,55
Pershing Square North,2026-08-19T03:59:00,33,27,60
E 47 St & Park Ave,2026-08-19T03:59:00,15,25,40
Broadway & W 41 St,2026-08-19T03:59:00,27,18,45
W 33 St & 7 Ave,2026-08-19T03:59:00,26,24,50
6 Ave & W 33 St,2026-08-19T03:59:00,14,21,35
E 43 St & Vanderbilt Ave,2026-08-19T03:59:00,22,18,40
W 45 St & 6 Ave,2026-08-19T03:59:00,14,21,35
W 21 St & 6 Ave,2026-08-19T03:59:00,19,26,45
8 Ave & W 31 St,2026-08-19T03:59:00,28,22,50
W 20 St & 11 Ave,2026-08-19T03:59:00,15,15,30
W 26 St & 8 Ave,2026-08-19T03:59:00,17,18,35
W 17 St & 8 Ave,2026-08-19T03:59:00,20,20,
9 Ave & W 22 St ,2026-08-19T03:59:00,15,15,30
Broadway & E 14 St,2026-08-19T03:59:00,21,29,50
Lafayette St & E 8 St,2026-08-19T03:59:00,27,18,45
E 17 St & Broadway,2026-08-19T03:59:00,22,18,40
University Pl & E 14 St,2026-08-19T03:59:00,18,17,35
Carmine St & 6 Ave,2026-08-19T03:59:00,13,17,30
Christopher St & Greenwich St,2026-08-19T03:59:00,17,13,30
E 7 St & Avenue A,2026-08-19T03:59:00,15,20,35
West St & Chambers St ,2026-08-19T03:59:00,21,24,45
South End Ave & Liberty St,2026-08-19T03:59:00,16,19,35
Vesey Pl & River Terrace,2026-08-19T03:59:00,21,19,40
Cleveland Pl & Spring St,2026-08-19T03:59:00,22,13,35
Broadway & Battery Pl,2026-08-19T03:59:00,24,16,40
1 Ave & E 68 St,2026-08-19T03:59:00,16,24,40
E 72 St & York Ave,2026-08-19T03:59:00,13,22,
Lexington Ave & E 63 St,2026-08-19T03:59:00,20,15,35
e 75 st & 3 ave,2026-08-19T03:59:00,15,15,30
W 41 St & 8 Ave,2026-08-19T04:59:00,32,23,55
Pershing Square North,2026-08-19T04:59:00,34,26,60
E 47 St & Park Ave,2026-08-19T04:59:00,15,25,40
Broadway and W 41 St,2026-08-19T04:59:00,26,19,45
W 33 St & 7 Ave,2026-08-19T04:59:00,27,23,50
6 Ave & W 33 St,2026-08-19T04:59:00,14,21,35
E 43 St & Vanderbilt Ave,2026-08-19T04:59:00,21,19,40
W 45 St & 6 Ave,2026-08-19T04:59:00,13,22,
W 21 St & 6 Ave,2026-08-19T04:59:00,19,26,45
8 Ave & W 31 St ,2026-08-19T04:59:00,28,22,50
W 20 St & 11 Ave,2026-08-19T04:59:00,15,15,30
W 26 St & 8 Ave,2026-08-19T04:59:00,15,20,35
W 17 St & 8 Ave,2026-08-19T04:59:00,19,21,40
9 Ave & W 22 St ,2026-08-19T04:59:00,15,15,30
Broadway & E 14 St,2026-08-19T04:59:00,21,29,50
Lafayette St & E 8 St,2026-08-19T04:59:00,27,18,45
E 17 St & Broadway,2026-08-19T04:59:00,22,18,40
University Pl & E 14 St,2026-08-19T04:59:00,18,17,35
Carmine St & 6 Ave,2026-08-19T04:59:00,14,16,30
Christopher St & Greenwich St,2026-08-19T04:59:00,17,13,30
E 7 St & Avenue A,2026-08-19T04:59:00,15,20,
West St & Chambers St,2026-08-19T04:59:00,20,25,45
South End Ave & Liberty St,2026-08-19T04:59:00,17,18,35
Vesey Pl & River Terrace,2026-08-19T04:59:00,21,19,40
cleveland pl & spring st,2026-08-19T04:59:00,21,14,35
Broadway & Battery Pl,2026-08-19T04:59:00,22,18,40
1 Ave & E 68 St,2026-08-19T04:59:00,17,23,40
E 72 St & York Ave ,2026-08-19T04:59:00,13,22,35
Lexington Ave & E 63 St,2026-08-19T04:59:00,19,16,35
E 75 St & 3 Ave,2026-08-19T04:59:00,16,14,
W 41 St & 8 Ave,2026-08-19T05:59:00,32,23,55
Pershing Square North,2026-08-19T05:59:00,33,27,60
E 47 St & Park Ave,2026-08-19T05:59:00,15,25,40
Broadway & W 41 St,2026-08-19T05:59:00,26,19,45
W 33 St & 7 Ave,2026-08-19T05:59:00,28,22,
6 Ave & W 33 St,2026-08-19T05:59:00,15,20,
E 43 St & Vanderbilt Ave,2026-08-19T05:59:00,20,20,40
W 45 St & 6 Ave,2026-08-19T05:59:00,13,22,35
W 21 St & 6 Ave,2026-08-19T05:59:00,20,25,45
8 Ave & W 31 St,2026-08-19T05:59:00,29,21,50
W 20 St & 11 Ave,2026-08-19T05:59:00,15,15,30
W 26 St & 8 Ave,2026-08-19T05:59:00,15,20,35
W 17 St & 8 Ave,2026-08-19T05:59:00,19,21,
9 Ave & W 22 St,2026-08-19T05:59:00,14,16,
Broadway & E 14 St,2026-08-19T05:59:00,21,29,50
Lafayette St & E 8 St,2026-08-19T05:59:00,29,16,45
E 17 St & Broadway,2026-08-19T05:59:00,22,18,40
University Pl & E 14 St,2026-08-19T05:59:00,18,17,
Carmine St & 6 Ave,2026-08-19T05:59:00,14,16,30
Christopher St & Greenwich St,2026-08-19T05:59:00,18,12,30
E 7 St & Avenue A,2026-08-19T05:59:00,15,20,35
West St & Chambers St,2026-08-19T05:59:00,21,24,45
South End Ave & Liberty St,2026-08-19T05:59:00,16,19,35
Vesey Pl & River Terrace,2026-08-19T05:59:00,21,19,40
Cleveland Pl & Spring St ,2026-08-19T05:59:00,22,13,35
Broadway & Battery Pl,2026-08-19T05:59:00,20,20,40
1 Ave & E 68 St,2026-08-19T05:59:00,17,23,40
E 72 St & York Ave,2026-08-19T05:59:00,14,21,35
Lexington Ave & E 63 St,2026-08-19T05:59:00,18,17,35
E 75 St & 3 Ave,2026-08-19T05:59:00,17,13,30
W 41 St & 8 Ave,2026-08-19T06:59:00,40,15,55
Pershing Square North,2026-08-19T06:59:00,39,21,
e 47 st & park ave,2026-08-19T06:59:00,19,21,40
Broadway & W 41 St,2026-08-19T06:59:00,30,15,45
W 33 St & 7 Ave,2026-08-19T06:59:00,32,18,50
6 Ave & W 33 St,2026-08-19T06:59:00,21,14,35
E 43 St & Vanderbilt Ave,2026-08-19T06:59:00,25,15,40
W 45 St & 6 Ave,2026-08-19T06:59:00,17,18,35
W 21 St & 6 Ave ,2026-08-19T06:59:00,19,26,45
8 Ave & W 31 St,2026-08-19T06:59:00,29,21,50
W 20 St & 11 Ave,2026-08-19T06:59:00,15,15,30
W 26 St and 8 Ave,2026-08-19T06:59:00,14,21,35
W 17 St & 8 Ave,2026-08-19T06:59:00,20,20,40
9 Ave & W 22 St ,2026-08-19T06:59:00,16,14,30
Broadway & E 14 St,2026-08-19T06:59:00,13,37,50
Lafayette St & E 8 St,2026-08-19T06:59:00,23,22,45
e 17 st & broadway,2026-08-19T06:59:00,18,22,40
University Pl & E 14 St,2026-08-19T06:59:00,13,22,35
Carmine St & 6 Ave,2026-08-19T06:59:00,11,19,30
Christopher St & Greenwich St,2026-08-19T06:59:00,13,17,
E 7 St & Avenue A,2026-08-19T06:59:00,10,25,
West St & Chambers St,2026-08-19T06:59:00,25,20,45
South End Ave & Liberty St,2026-08-19T06:59:00,18,17,35
Vesey Pl & River Terrace,2026-08-19T06:59:00,24,16,40
Cleveland Pl & Spring St,2026-08-19T06:59:00,27,8,35
Broadway & Battery Pl,2026-08-19T06:59:00,23,17,40
1 Ave & E 68 St,2026-08-19T06:59:00,13,27,40
E 72 St & York Ave,2026-08-19T06:59:00,12,23,35
Lexington Ave & E 63 St ,2026-08-19T06:59:00,15,20,35
E 75 St & 3 Ave,2026-08-19T06:59:00,14,16,30
W 41 St & 8 Ave,2026-08-19T07:59:00,55,0,55
Pershing Square North,2026-08-19T07:59:00,60,0,60
E 47 St & Park Ave,2026-08-19T07:59:00,34,6,40
Broadway & W 41 St,2026-08-19T07:59:00,45,0,45
W  33 St & 7 Ave,2026-08-19T07:59:00,45,5,50
6 Ave & W 33 St,2026-08-19T07:59:00,35,0,35
E 43 St and Vanderbilt Ave,2026-08-19T07:59:00,39,1,40
W 45 St & 6 Ave,2026-08-19T07:59:00,29,6,
W 21 St & 6 Ave,2026-08-19T07:59:00,16,29,45
8 Ave & W 31 St,2026-08-19T07:59:00,29,21,50
W 20 St & 11 Ave,2026-08-19T07:59:00,13,17,30
W 26 St & 8 Ave,2026-08-19T07:59:00,11,24,35
W 17 St & 8 Ave,2026-08-19T07:59:00,22,18,40
9 Ave & W 22 St,2026-08-19T07:59:00,17,13,
Broadway and E 14 St,2026-08-19T07:59:00,0,50,50
Lafayette St & E 8 St,2026-08-19T07:59:00,3,42,
E 17 St & Broadway,2026-08-19T07:59:00,0,40,
University Pl & E 14 St,2026-08-19T07:59:00,0,35,35
Carmine St & 6 Ave,2026-08-19T07:59:00,0,30,30
Christopher St & Greenwich St,2026-08-19T07:59:00,0,30,30
E 7 St & Avenue A,2026-08-19T07:59:00,0,35,35
West St & Chambers St,2026-08-19T07:59:00,38,7,45
South End Ave & Liberty St,2026-08-19T07:59:00,22,13,35
Vesey Pl & River Terrace,2026-08-19T07:59:00,34,6,
Cleveland Pl & Spring St,2026-08-19T07:59:00,35,0,35
Broadway & Battery Pl,2026-08-19T07:59:00,27,13,40
1 Ave and E 68 St,2026-08-19T07:59:00,0,40,40
E 72 St & York Ave,2026-08-19T07:59:00,2,33,35
Lexington Ave and E 63 St,2026-08-19T07:59:00,0,35,35
E 75 St & 3 Ave,2026-08-19T07:59:00,6,24,30
W 41 St & 8 Ave,2026-08-19T08:59:00,55,0,
Pershing Square North,2026-08-19T08:59:00,60,0,60
E 47 St & Park Ave,2026-08-19T08:59:00,40,0,40
Broadway & W 41 St,2026-08-19T08:59:00,45,0,45
W 33 St & 7 Ave,2026-08-19T08:59:00,50,0,50
6 Ave & W 33 St,2026-08-19T08:59:00,35,0,35
E 43 St & Vanderbilt Ave,2026-08-19T08:59:00,40,0,40
W 45 St & 6 Ave,2026-08-19T08:59:00,35,0,35
W 21 St & 6 Ave,2026-08-19T08:59:00,12,33,45
8 Ave & W 31 St,2026-08-19T08:59:00,29,21,50
W 20 St & 11 Ave ,2026-08-19T08:59:00,10,20,30
W 26 St & 8 Ave,2026-08-19T08:59:00,5,30,35
W 17 St & 8 Ave,2026-08-19T08:59:00,23,17,40
9 Ave & W 22 St,2026-08-19T08:59:00,21,9,30
Broadway & E 14 St,2026-08-19T08:59:00,0,50,50
Lafayette St & E 8 St,2026-08-19T08:59:00,0,45,
E 17 St & Broadway,2026-08-19T08:59:00,0,40,40
University Pl & E 14 St,2026-08-19T08:59:00,0,35,35
Carmine St & 6 Ave,2026-08-19T08:59:00,0,30,
Christopher St & Greenwich St,2026-08-19T08:59:00,0,30,30
E 7 St & Avenue A,2026-08-19T08:59:00,0,35,35
West St & Chambers St,2026-08-19T08:59:00,45,0,45
South  End Ave & Liberty St,2026-08-19T08:59:00,28,7,35
Vesey Pl & River Terrace,2026-08-19T08:59:00,40,0,40
Cleveland Pl & Spring St,2026-08-19T08:59:00,35,0,35
Broadway & Battery Pl,2026-08-19T08:59:00,34,6,40
1 Ave & E 68 St,2026-08-19T08:59:00,0,40,40
E 72 St & York Ave,2026-08-19T08:59:00,0,35,35
Lexington Ave & E 63 St,2026-08-19T08:59:00,0,35,35
E 75 St & 3 Ave,2026-08-19T08:59:00,0,30,30
W 41 St & 8 Ave,2026-08-19T09:59:00,55,0,
Pershing Square North,2026-08-19T09:59:00,60,0,60
e 47 st & park ave,2026-08-19T09:59:00,40,0,40
Broadway & W 41 St,2026-08-19T09:59:00,45,0,45
W 33 St & 7 Ave,2026-08-19T09:59:00,50,0,50
6 Ave & W 33 St,2026-08-19T09:59:00,35,0,35
e 43 st & vanderbilt ave,2026-08-19T09:59:00,40,0,40
W 45 St & 6 Ave,2026-08-19T09:59:00,35,0,35
W 21 St & 6 Ave,2026-08-19T09:59:00,11,34,45
8 Ave & W 31 St,2026-08-19T09:59:00,29,21,50
W 20 St & 11 Ave,2026-08-19T09:59:00,8,22,30
W 26 St & 8 Ave,2026-08-19T09:59:00,1,34,
W 17 St & 8 Ave,2026-08-19T09:59:00,23,17,40
9 ave & w 22 st,2026-08-19T09:59:00,23,7,30
Broadway & E 14 St,2026-08-19T09:59:00,0,50,50
Lafayette St & E 8 St,2026-08-19T09:59:00,0,45,45
E 17 St & Broadway,2026-08-19T09:59:00,0,40,40
University Pl & E 14 St,2026-08-19T09:59:00,0,35,35
Carmine St & 6 Ave,2026-08-19T09:59:00,0,30,30
christopher st & greenwich st,2026-08-19T09:59:00,0,30,30
E 7 St & Avenue A,2026-08-19T09:59:00,0,35,
West St & Chambers St,2026-08-19T09:59:00,45,0,45
South End Ave & Liberty St,2026-08-19T09:59:00,32,3,35
Vesey Pl & River Terrace,2026-08-19T09:59:00,40,0,
Cleveland Pl & Spring St,2026-08-19T09:59:00,35,0,35
Broadway & Battery Pl,2026-08-19T09:59:00,40,0,40
1 Ave & E 68 St,2026-08-19T09:59:00,0,40,40
E 72 St & York Ave,2026-08-19T09:59:00,0,35,35
Lexington Ave & E 63 St,2026-08-19T09:59:00,0,35,35
E 75 St & 3 Ave ,2026-08-19T09:59:00,0,30,30
W 41 St & 8 Ave,2026-08-19T10:59:00,55,0,55
Pershing Square North,2026-08-19T10:59:00,59,1,
E 47 St & Park Ave,2026-08-19T10:59:00,38,2,40
Broadway & W 41 St,2026-08-19T10:59:00,45,0,45
W 33 St & 7 Ave,2026-08-19T10:59:00,50,0,50
6 Ave & W 33 St,2026-08-19T10:59:00,35,0,35
E 43 St & Vanderbilt Ave,2026-08-19T10:59:00,40,0,40
W 45 St & 6 Ave,2026-08-19T10:59:00,35,0,35
W 21 St & 6 Ave,2026-08-19T10:59:00,11,34,45
8 Ave & W 31 St,2026-08-19T10:59:00,29,21,50
W 20 St & 11 Ave,2026-08-19T10:59:00,8,22,30
W 26 St & 8 Ave,2026-08-19T10:59:00,0,35,35
W 17 St & 8 Ave,2026-08-19T10:59:00,23,17,40
9 Ave & W 22 St,2026-08-19T10:59:00,22,8,30
Broadway & E 14 St,2026-08-19T10:59:00,0,50,50
Lafayette St & E 8 St,2026-08-19T10:59:00,0,45,
E 17 St & Broadway,2026-08-19T10:59:00,0,40,40
University Pl & E 14 St ,2026-08-19T10:59:00,0,35,
Carmine St & 6 Ave,2026-08-19T10:59:00,0,30,30
Christopher St & Greenwich St,2026-08-19T10:59:00,0,30,30
E 7 St & Avenue A,2026-08-19T10:59:00,1,34,35
West St & Chambers St,2026-08-19T10:59:00,44,1,45
South End Ave & Liberty St,2026-08-19T10:59:00,33,2,35
Vesey Pl & River Terrace,2026-08-19T10:59:00,39,1,40
Cleveland Pl & Spring St,2026-08-19T10:59:00,35,0,35
Broadway & Battery Pl,2026-08-19T10:59:00,39,1,40
1 Ave & E 68 St,2026-08-19T10:59:00,0,40,40
E  72 St & York Ave,2026-08-19T10:59:00,0,35,35
Lexington Ave & E 63 St,2026-08-19T10:59:00,1,34,35
E 75 St & 3 Ave,2026-08-19T10:59:00,0,30,30
W 41 St & 8 Ave,2026-08-19T11:59:00,55,0,55
Pershing Square North,2026-08-19T11:59:00,59,1,60
E 47 St & Park Ave,2026-08-19T11:59:00,38,2,40
Broadway & W 41 St,2026-08-19T11:59:00,45,0,45
W 33 St & 7 Ave,2026-08-19T11:59:00,49,1,50
6 Ave & W 33 St,2026-08-19T11:59:00,35,0,35
e 43 st & vanderbilt ave,2026-08-19T11:59:00,39,1,40
W 45 St & 6 Ave,2026-08-19T11:59:00,35,0,35
w 21 st & 6 ave,2026-08-19T11:59:00,11,34,45
8 Ave & W 31 St,2026-08-19T11:59:00,30,20,50
W 20 St & 11 Ave,2026-08-19T11:59:00,9,21,30
W 26 St & 8 Ave,2026-08-19T11:59:00,0,35,35
W 17 St & 8 Ave,2026-08-19T11:59:00,23,17,40
9 Ave & W 22 St,2026-08-19T11:59:00,22,8,30
Broadway & E 14 St,2026-08-19T11:59:00,0,50,50
Lafayette St & E 8 St,2026-08-19T11:59:00,0,45,45
E 17 St & Broadway,2026-08-19T11:59:00,0,40,40
University Pl & E 14 St ,2026-08-19T11:59:00,1,34,35
carmine st & 6 ave,2026-08-19T11:59:00,0,30,30
Christopher St & Greenwich St,2026-08-19T11:59:00,0,30,30
E 7 St & Avenue A,2026-08-19T11:59:00,1,34,35
West St & Chambers St,2026-08-19T11:59:00,44,1,45
South End Ave & Liberty St,2026-08-19T11:59:00,33,2,35
Vesey  Pl & River Terrace,2026-08-19T11:59:00,39,1,
Cleveland Pl & Spring St,2026-08-19T11:59:00,35,0,35
Broadway & Battery Pl,2026-08-19T11:59:00,39,1,40
1 Ave & E 68 St,2026-08-19T11:59:00,0,40,40
E 72 St & York Ave ,2026-08-19T11:59:00,0,35,35
Lexington Ave & E 63 St,2026-08-19T11:59:00,2,33,35
E 75 St & 3 Ave,2026-08-19T11:59:00,0,30,30
W 41 St & 8 Ave,2026-08-19T12:59:00,55,0,55
Pershing Square North,2026-08-19T12:59:00,58,2,60
E 47 St & Park Ave,2026-08-19T12:59:00,37,3,40
Broadway & W 41 St,2026-08-19T12:59:00,44,1,45
W 33 St & 7 Ave,2026-08-19T12:59:00,49,1,50
6 Ave & W 33 St,2026-08-19T12:59:00,35,0,35
E 43 St & Vanderbilt Ave,2026-08-19T12:59:00,39,1,40
W 45 St & 6 Ave,2026-08-19T12:59:00,34,1,35
W 21 St & 6 Ave,2026-08-19T12:59:00,11,34,45
8 ave & w 31 st,2026-08-19T12:59:00,30,20,50
W 20 St & 11 Ave,2026-08-19T12:59:00,8,22,
W 26 St & 8 Ave,2026-08-19T12:59:00,0,35,35
W 17 St & 8 Ave,2026-08-19T12:59:00,24,16,40
9 Ave & W 22 St,2026-08-19T12:59:00,21,9,30
Broadway & E 14 St,2026-08-19T12:59:00,0,50,50
Lafayette St & E 8 St,2026-08-19T12:59:00,0,45,45
E 17 St & Broadway,2026-08-19T12:59:00,0,40,40
University Pl & E 14 St,2026-08-19T12:59:00,0,35,35
Carmine St & 6 Ave,2026-08-19T12:59:00,0,30,30
Christopher St & Greenwich St,2026-08-19T12:59:00,1,29,30
